,tradeDate,secID,ticker,assetClass,exchangeCD,secFullName,currencyCD,tradePrice,tradeVal,tradeVol,buyerBD,sellerBD
117,2014-07-08,002594.XSHE,002594,E,XSHE,比亚迪,CNY,42.98,7650.44,178.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司南通工农路证券营业部
118,2014-07-09,002594.XSHE,002594,E,XSHE,比亚迪,CNY,48.25,431.84,8.95,瑞银证券有限责任公司上海花园石桥路证券营业部,瑞银证券有限责任公司上海花园石桥路证券营业部
119,2014-07-10,002594.XSHE,002594,E,XSHE,比亚迪,CNY,47.15,843.99,17.9,瑞银证券有限责任公司上海花园石桥路证券营业部,瑞银证券有限责任公司上海花园石桥路证券营业部
120,2014-07-10,002594.XSHE,002594,E,XSHE,比亚迪,CNY,43.16,12084.8,280.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司南通工农路证券营业部
121,2014-07-11,002594.XSHE,002594,E,XSHE,比亚迪,CNY,41.93,12872.51,307.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司南通工农路证券营业部
122,2014-07-14,002594.XSHE,002594,E,XSHE,比亚迪,CNY,48.94,362.16,7.4,瑞银证券有限责任公司上海花园石桥路证券营业部,机构专用
123,2014-07-14,002594.XSHE,002594,E,XSHE,比亚迪,CNY,42.22,6333.0,150.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司深圳福华一路证券营业部
124,2014-07-14,002594.XSHE,002594,E,XSHE,比亚迪,CNY,42.22,5235.28,124.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司南通工农路证券营业部
125,2014-07-15,002594.XSHE,002594,E,XSHE,比亚迪,CNY,46.3,6991.3,151.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司南通工农路证券营业部
126,2014-07-18,002594.XSHE,002594,E,XSHE,比亚迪,CNY,41.84,502.08,12.0,中国国际金融有限公司深圳福华一路证券营业部,中国国际金融有限公司厦门莲岳路证券营业部
127,2014-07-18,002594.XSHE,002594,E,XSHE,比亚迪,CNY,41.84,661.07,15.8,中国国际金融有限公司深圳福华一路证券营业部,中国国际金融有限公司厦门莲岳路证券营业部
128,2014-07-18,002594.XSHE,002594,E,XSHE,比亚迪,CNY,41.84,2510.4,60.0,中国国际金融有限公司深圳福华一路证券营业部,中国国际金融有限公司厦门莲岳路证券营业部
129,2014-07-21,002594.XSHE,002594,E,XSHE,比亚迪,CNY,41.72,1389.28,33.3,中国国际金融有限公司深圳福华一路证券营业部,中国国际金融有限公司厦门莲岳路证券营业部
130,2014-07-22,002594.XSHE,002594,E,XSHE,比亚迪,CNY,41.43,745.74,18.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司南通工农路证券营业部
131,2014-07-22,002594.XSHE,002594,E,XSHE,比亚迪,CNY,41.43,3397.26,82.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司深圳福华一路证券营业部
132,2014-07-23,002594.XSHE,002594,E,XSHE,比亚迪,CNY,43.74,1355.94,31.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司南通工农路证券营业部
133,2014-07-24,002594.XSHE,002594,E,XSHE,比亚迪,CNY,42.93,3777.84,88.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司深圳福华一路证券营业部
134,2014-07-25,002594.XSHE,002594,E,XSHE,比亚迪,CNY,42.94,3735.78,87.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司深圳福华一路证券营业部
135,2014-07-28,002594.XSHE,002594,E,XSHE,比亚迪,CNY,43.59,3835.92,88.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司深圳福华一路证券营业部
136,2014-07-29,002594.XSHE,002594,E,XSHE,比亚迪,CNY,44.16,9052.8,205.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司深圳福华一路证券营业部
137,2014-08-01,002594.XSHE,002594,E,XSHE,比亚迪,CNY,45.64,8991.08,197.0,中信证券股份有限公司深圳福华一路证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
138,2014-08-04,002594.XSHE,002594,E,XSHE,比亚迪,CNY,44.72,8183.76,183.0,中信证券股份有限公司深圳总部证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
139,2014-08-05,002594.XSHE,002594,E,XSHE,比亚迪,CNY,46.32,7272.24,157.0,中信证券股份有限公司深圳总部证券营业部,中信证券股份有限公司深圳总部证券营业部
140,2014-08-06,002594.XSHE,002594,E,XSHE,比亚迪,CNY,46.25,6660.0,144.0,中信证券股份有限公司深圳总部证券营业部,中信证券股份有限公司深圳总部证券营业部
141,2014-08-07,002594.XSHE,002594,E,XSHE,比亚迪,CNY,47.25,4677.75,99.0,中信证券股份有限公司深圳总部证券营业部,中信证券股份有限公司深圳总部证券营业部
142,2014-09-24,002594.XSHE,002594,E,XSHE,比亚迪,CNY,49.54,495.4,10.0,机构专用,机构专用
143,2014-10-24,002594.XSHE,002594,E,XSHE,比亚迪,CNY,42.66,469.26,11.0,中国国际金融有限公司北京建国门外大街证券营业部,中国银河证券股份有限公司北京金融街证券营业部
144,2014-10-27,002594.XSHE,002594,E,XSHE,比亚迪,CNY,42.67,477.39,11.19,中国国际金融有限公司北京建国门外大街证券营业部,中国银河证券股份有限公司北京金融街证券营业部
145,2014-10-29,002594.XSHE,002594,E,XSHE,比亚迪,CNY,48.1,240.5,5.0,机构专用,机构专用
146,2014-12-26,002594.XSHE,002594,E,XSHE,比亚迪,CNY,33.44,1337.6,40.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司厦门莲岳路证券营业部
147,2014-12-31,002594.XSHE,002594,E,XSHE,比亚迪,CNY,37.3,4550.6,122.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司厦门莲岳路证券营业部
